PIDM,ERM_INITIAL_SCORE,ERM_CURRENT_SCORE,ERM_SCORE
2119650,54,54,25
2119794,64,64,30
2119924,45,45,15
2120657,60,60,30
2120722,54,54,25
2120962,66,66,40
2120974,52,64,25
2120976,54,54,25
2120986,72,72,40
2121015,55,68,30
2121157,66,66,40
2121162,57,57,30
2121268,45,94,30
2121297,45,45,15
2121308,49,49,15
2121684,58,58,30
2121724,53,null,25
2121852,41,41,10
2121858,45,45,15
2121895,26,26,10
2122008,71,71,40
2122069,60,60,30
2122079,75,75,40
2122125,68,68,40
2122308,44,44,10
2122450,68,68,40
2122463,56,null,30
2122873,47,83,30
2122929,60,60,30
2123514,42,66,15
2123755,61,61,30
2123814,62,62,30
2123828,39,39,10
2123832,62,62,30
2123905,51,51,15
2123935,71,78,40
2124012,60,60,30
2124065,60,60,30
2124069,64,64,30
2124102,64,64,30
2124142,38,38,10
2124181,58,58,30
2124808,73,73,40
2124841,49,73,25
2125006,60,60,30
2125509,61,97,40
2125578,69,69,40
2125753,61,61,30
2125908,52,52,25
2126004,60,60,30
2126254,64,64,30
2126292,69,100,40
2126458,65,70,40
2126623,73,73,40
2126680,72,75,40
2127100,51,59,15
2127360,53,71,25
2127746,44,44,10
2128567,49,49,15
2128577,61,61,30
2128850,46,46,15
2129235,68,68,40
2130023,42,42,10
2130085,55,100,40
2130330,74,74,40
2131198,63,63,30
2131783,73,73,40
2132145,52,52,25
2132185,66,72,40
2132738,46,46,15
2132756,45,45,15
2133291,62,62,30
2133301,61,61,30
2133348,38,38,10
2133680,64,64,30
2133837,60,60,30
2133954,65,65,40
2133965,73,73,40
2134104,47,68,15
2134105,62,62,30
2134460,56,56,30
2134506,49,49,15
2134720,35,39,10
2134727,70,70,40
2134742,49,49,15
2135002,63,63,30
2135199,51,51,15
2135278,71,71,40
2136014,48,48,15
2136058,60,70,30
2136093,71,75,40
2136288,69,100,40
2136442,59,70,30
2136519,51,null,15
2136524,51,51,15
2136561,62,62,30
2136581,69,69,40
2136621,73,73,40
2137018,57,57,30
2137287,68,75,40
2137303,74,74,40
2137549,59,59,30
2137728,64,100,40
2138300,56,56,30
2138409,65,65,40
2138710,49,49,15
2139387,54,54,25
2139448,53,81,30
2139925,40,40,10
2140125,54,54,25
2140530,61,61,30
2140631,53,53,25
2140923,63,67,30
2140964,70,72,40
2141254,49,49,15
2141454,63,67,30
2141754,68,68,40
2141782,70,70,40
2141909,53,53,25
2142049,72,72,40
2142307,58,58,30
2142811,68,68,40
2142970,27,27,10
2143008,63,63,30
2143290,58,78,30
2143575,64,100,40
2143783,51,51,15
2144380,46,46,15
2144397,58,97,40
2144574,56,100,40
2144906,62,62,30
2145093,74,74,40
2145096,54,54,25
2145103,73,73,40
2145215,57,57,30
2145977,42,42,10
2146002,36,36,10
2146410,59,76,30
2146592,32,32,10
2146923,37,73,25
2146931,47,47,15
2147124,52,52,25
2147262,40,null,10
2147288,71,75,40
2147353,68,68,40
2147738,54,54,25
2148014,65,68,40
2148219,42,42,10
2148614,57,57,30
2148992,60,60,30
2149041,62,62,30
2149073,53,78,30
2149243,42,42,10
2149327,54,54,25
2149409,70,70,40
2149425,53,53,25
2149436,60,60,30
