Unnamed: 0,PIDM,term_code,gid,admit_term,degree.x,major_code,college.x,major.x,stu_type,stu_level.x,high_school_grad_year,high_school_grad_month,hs_gpa,sat_total,sat_new_readwrit,sat_new_math,act_composite,act_eng,act_math,gid_tests,test_date,activity_date,test_code,test_score,gid_hsmath,hsmath_course,hsmath_grade,gid_courses,term,student_campus,event,campus_code,course_number,section_number,subj_code,section_type,credit_levl,course_credits,reg_status,grade,grade_category,course_number_updated,course_level,PIDM_course_number_term,ERM_SCORE
85786,2424521,202330,-3177576,202330.0,Bachelor of Science,BLFM,College of Letters & Science,Biological Sciences,T,UG,,,,,,,,,,-3177576,2022-12-17 01:32:14,2022-12-17 01:32:14,ZCMP,300.032,,,,-3177576,202330,MZZ,202330EOT,Z,121Q,10,M,L,UG,3,RW,F,Unsuccessful,121Q,300,2424521_121Q_202330,30.0
85787,2424530,202370,-3177585,202370.0,Bachelor of Science,PMED,College of Letters & Science,Pre-Medicine,N,UG,2023.0,6.0,3.57,,,,,,,-3177585,2023-07-01 01:32:25,2023-07-01 01:32:25,ZCMP,400.032,,,,-3177585,202370,MZZ,202370EOT,Z,216Q,2,STAT,L,UG,3,RW,B-,Successful,216Q,300,2424530_216Q_202370,40.0
85789,2424539,202370,-3177592,202370.0,Bachelor of Arts,MLST,College of Letters & Science,Modern Languages & Literatures,N,UG,,,3.76,,,,21.0,24.0,22.0,-3177592,2023-03-16 01:32:13,2023-03-16 01:32:13,ZCMP,300.005,-3177592.0,HSM60,,-3177592,202370,MZZ,202370EOT,Z,121Q,10,M,L,UG,3,RW,B+,Successful,121Q,300,2424539_121Q_202370,
85799,2424557,202370,-3177608,202370.0,Bachelor of Science,ME,College of Engineering,Mechanical Engineering,N,UG,,,3.94,,,,23.0,23.0,25.0,-3177608,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,400.001,-3177608.0,HSM60,,-3177608,202370,MZZ,202370EOT,Z,151Q,11,M,L,UG,4,RW,B-,Successful,151Q,400,2424557_151Q_202370,
85805,2424696,202370,-3177743,202370.0,Bachelor of Science,US,University College,University Studies,N,UG,2023.0,6.0,4.05,,,,28.0,30.0,27.0,-3177743,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,500.001,-3177743.0,HSM60,,-3177743,202370,MZZ,202370EOT,Z,121Q,6,M,L,UG,3,RW,A,Successful,121Q,300,2424696_121Q_202370,
85814,2424761,202370,-3177808,202370.0,Bachelor of Science,COMP,College of Engineering,Computer Engineering,N,UG,,,3.26,1080.0,490.0,590.0,,,,-3177808,2023-05-04 01:34:16,2023-05-04 01:34:16,ZCMP,400.002,-3177808.0,HSM60,,-3177808,202370,MZZ,202370EOT,Z,151Q,2,M,L,UG,4,RW,B-,Successful,151Q,400,2424761_151Q_202370,25.0
85820,2424773,202270,-3177820,202270.0,Bachelor of Science,PMBS,College of Letters & Science,Pre-Medicine,T,UG,,,,1420.0,630.0,790.0,,,,-3177820,2022-08-04 01:33:54,2022-08-04 01:33:54,ZCMP,500.002,,,,-3177820,202330,MZZ,202330EOT,Z,216Q,3,STAT,L,UG,3,RW,A,Successful,216Q,300,2424773_216Q_202330,40.0
85821,2424806,202370,-3177851,202370.0,Bachelor of Science,US,University College,University Studies,N,UG,2023.0,6.0,3.7,,,,,,,-3177851,2023-06-18 01:33:15,2023-06-18 01:33:15,ZCMP,400.032,-3177851.0,HSM60,,-3177851,202370,MZZ,202370EOT,Z,151Q,3,M,L,UG,4,RW,B-,Successful,151Q,400,2424806_151Q_202370,40.0
85833,2424840,202370,-3177879,202370.0,Bachelor of Science,CHBC,College of Letters & Science,Chemistry,N,UG,,,3.75,,,,,,,-3177879,2023-06-24 01:32:52,2023-06-24 01:32:52,ZCMP,400.032,-3177879.0,HSM80,,-3177879,202370,MZZ,202370EOT,Z,161Q,3,M,L,UG,4,RW,A,Successful,161Q,400,2424840_161Q_202370,40.0
85834,2424860,202370,-3177899,202370.0,Bachelor of Science,BUMG,College of Business,Business,N,UG,2023.0,5.0,3.44,,,,,,,-3177899,2023-06-24 01:32:52,2023-06-24 01:32:52,ZCMP,100.032,,,,-3177899,202370,MZZ,202370EOT,ZGC,090,921,M,L,UG,4,RW,B+*,Successful,Combo2,100,2424860_090_202370,10.0
85838,2424864,202370,-3177903,202370.0,Bachelor of Science,SOCR,College of Letters & Science,Sociology,N,UG,2023.0,6.0,3.63,,,,,,,-3177903,2023-06-07 01:31:23,2023-06-07 01:31:23,ZCMP,400.032,,,,-3177903,202370,MZZ,202370EOT,Z,216Q,8,STAT,L,UG,3,RW,C+,Unsuccessful,216Q,300,2424864_216Q_202370,40.0
85844,2424867,202370,-3177906,202370.0,Bachelor of Science,KINH,College of Education/HHD,Kinesiology,N,UG,,,3.26,,,,,,,-3177906,2023-07-01 01:32:25,2023-07-01 01:32:26,ZCMP,100.032,,,,-3177906,202370,MZZ,202370EOT,ZGC,090,921,M,L,UG,4,RE,A*,Successful,Combo2,100,2424867_090_202370,10.0
85848,2424884,202370,-3177923,202370.0,Bachelor of Science,BUFN,College of Business,Business,N,UG,,,3.14,,,,,,,-3177923,2023-06-08 01:33:21,2023-06-08 01:33:21,ZCMP,300.032,,,,-3177923,202370,MZZ,202370EOT,Z,121Q,15,M,L,UG,3,RW,F,Unsuccessful,121Q,300,2424884_121Q_202370,30.0
85850,2424896,202370,-3177935,202370.0,Bachelor of Science,CET,College of Engineering,Construction Engineering Tech,N,UG,2018.0,6.0,2.02,,,,,,,-3177935,2023-08-10 01:31:49,2023-08-10 01:31:49,ZCMP,250.032,-3177935.0,HSM50,C,-3177935,202370,MZZ,202370EOT,ZGC,121Q,914,M,L,UG,3,RW,A,Successful,Combo3,250,2424896_121Q_202370,25.0
85852,2424907,202370,-3177946,202370.0,Bachelor of Science,BUFN,College of Business,Business,N,UG,2023.0,6.0,3.66,,,,18.0,18.0,17.0,-3177946,2023-06-27 01:32:25,2023-06-27 01:32:25,ZCMP,150.001,,,,-3177946,202370,MZZ,202370EOT,ZGC,121Q,905,M,L,UG,3,RE,C+,Unsuccessful,Combo3,250,2424907_121Q_202370,
85853,2424919,202370,-3177956,202370.0,Bachelor of Science,ECON,College of Letters & Science,Economics,N,UG,,,4.04,1210.0,610.0,600.0,,,,-3177956,2023-06-09 01:33:17,2023-06-09 01:33:17,ZCMP,400.002,-3177956.0,HSM60,,-3177956,202370,MZZ,202370EOT,Z,216Q,8,STAT,L,UG,3,RE,B+,Successful,216Q,300,2424919_216Q_202370,
85855,2424946,202370,-3177983,202370.0,Bachelor of Science,KINH,College of Education/HHD,Kinesiology,N,UG,2023.0,6.0,2.37,,,,,,,-3177983,2023-05-31 01:33:14,2023-05-31 01:33:14,ZCMP,300.032,-3177983.0,HSM50,C,-3177983,202370,MZZ,202370EOT,Z,121Q,5,M,L,UG,3,W,W,Unsuccessful,121Q,300,2424946_121Q_202370,30.0
85859,2424961,202370,-3177998,202370.0,Bachelor of Science,BUAC,College of Business,Business,N,UG,2023.0,6.0,3.8,1370.0,700.0,670.0,,,,-3177998,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,500.002,-3177998.0,HSM60,,-3177998,202370,MZZ,202370EOT,Z,161Q,9,M,L,UG,4,RW,A,Successful,161Q,400,2424961_161Q_202370,
